Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
286000,1.5470233,-9.971884,None,None,None,1.0
287000,1.5099039,-9.968996,999.0,-99.9099793434143,-99.9099793434143,1.0
288000,1.495984,-9.966675,999.0,-99.97497951984406,-99.97497951984406,1.0
289000,1.5097952,-9.969372,None,None,None,1.0
290000,1.4715631,-9.960364,999.0,-99.94664613405864,-99.94664613405864,1.0
291000,1.4995879,-9.964567,999.0,-99.93997955322266,-99.93997955322266,1.0
292000,1.5075895,-9.955185,999.0,-99.97997951507568,-99.97997951507568,1.0
293000,1.4252084,-9.954597,None,None,None,1.0
294000,1.4804254,-9.957013,None,None,None,1.0
295000,1.408732,-9.944725,None,None,None,1.0
296000,1.4689317,-9.944722,999.0,-99.9099793434143,-99.9099793434143,1.0
297000,1.4388081,-9.94581,999.0,-99.97497951984406,-99.97497951984406,1.0
298000,1.4088883,-9.939908,None,None,None,1.0
299000,1.3784051,-9.947448,999.0,-99.94664613405864,-99.94664613405864,1.0
300000,1.4490384,-9.948326,999.0,-99.93997955322266,-99.93997955322266,1.0
301000,1.4187372,-9.95373,999.0,-99.97997951507568,-99.97997951507568,1.0
302000,1.3753757,-9.958052,None,None,None,1.0
303000,1.4417602,-9.957216,None,None,None,1.0
304000,1.4667176,-9.957361,None,None,None,1.0
305000,1.4167289,-9.952683,999.0,-99.9099793434143,-99.9099793434143,1.0
306000,1.4283172,-9.9546795,999.0,-99.97497951984406,-99.97497951984406,1.0
307000,1.3817079,-9.973103,None,None,None,1.0
308000,1.3800772,-9.9641695,999.0,-99.94664613405864,-99.94664613405864,1.0
309000,1.4750094,-9.94892,999.0,-99.93997955322266,-99.93997955322266,1.0
310000,1.3744401,-9.941021,999.0,-99.97997951507568,-99.97997951507568,1.0
311000,1.3463339,-9.949202,None,None,None,1.0
312000,1.3935151,-9.958067,None,None,None,1.0
313000,1.4449049,-9.949945,None,None,None,1.0
314000,1.2912178,-9.950741,999.0,-99.9099793434143,-99.9099793434143,1.0
315000,1.3605033,-9.940441,999.0,-99.97497951984406,-99.97497951984406,1.0
316000,1.3716238,-9.963255,None,None,None,1.0
317000,1.3381661,-9.956192,999.0,-99.94664613405864,-99.94664613405864,1.0
318000,1.2863657,-9.963553,999.0,-99.93997955322266,-99.93997955322266,1.0
319000,1.3009402,-9.97343,999.0,-99.97997951507568,-99.97997951507568,1.0
320000,1.3668784,-9.968895,None,None,None,1.0
321000,1.3720601,-9.966021,None,None,None,1.0
322000,1.386651,-9.963062,None,None,None,1.0
323000,1.390906,-9.966734,999.0,-99.9099793434143,-99.9099793434143,1.0
324000,1.3454865,-9.962715,999.0,-99.97497951984406,-99.97497951984406,1.0
325000,1.3758812,-9.957314,None,None,None,1.0
326000,1.3572202,-9.96054,999.0,-100.27997962633769,-100.27997962633769,1.0
327000,1.3430527,-9.961167,999.0,-99.93997955322266,-99.93997955322266,1.0
328000,1.4022956,-9.958718,999.0,-99.97997951507568,-99.97997951507568,1.0
329000,1.3841466,-9.962856,None,None,None,1.0
330000,1.404342,-9.971761,None,None,None,1.0
331000,1.3836776,-9.964857,None,None,None,1.0
332000,1.4468366,-9.956545,999.0,-99.9099793434143,-99.9099793434143,1.0
333000,1.4290724,-9.957848,999.0,-99.97497951984406,-99.97497951984406,1.0
334000,1.4152045,-9.962486,None,None,None,1.0
335000,1.4045602,-9.964757,999.0,-99.94664613405864,-99.94664613405864,1.0
336000,1.3963223,-9.966177,999.0,-99.93997955322266,-99.93997955322266,1.0
