Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Environment/Episode Length,Is Training
228000,1.8910861,7.914881,1052.2935554186504,1052.2935554186504,262.0,1.0
229000,1.4388788,-2.3395603,-108.56007361412048,-108.56007361412048,999.0,1.0
230000,1.7422123,-0.06912285,-147.8659462928772,-147.8659462928772,999.0,1.0
231000,1.9489605,4.1560097,-77.72519659996033,-77.72519659996033,999.0,1.0
232000,1.7755039,-0.47621495,-183.32858419418335,-183.32858419418335,999.0,1.0
233000,1.8195577,2.1273174,534.8826713562012,534.8826713562012,507.0,1.0
234000,1.8929125,7.1442857,514.9708888530731,514.9708888530731,533.5,1.0
235000,1.9335791,5.496477,-37.02939701080322,-37.02939701080322,999.0,1.0
236000,1.9546883,6.7122817,-91.66729021072388,-91.66729021072388,999.0,1.0
237000,1.8536836,-0.9701119,-35.619054317474365,-35.619054317474365,999.0,1.0
238000,1.8952718,3.906035,-91.51709794998169,-91.51709794998169,999.0,1.0
239000,1.2459085,2.4440155,34.39122438430786,34.39122438430786,999.0,1.0
240000,0.86416554,-4.176176,-72.05275821685791,-72.05275821685791,999.0,1.0
241000,1.4707952,-2.5223112,468.4609203338623,468.4609203338623,579.5,1.0
242000,1.928381,5.4820495,497.08351969718933,497.08351969718933,517.5,1.0
243000,2.0585983,11.906247,-146.9872498512268,-146.9872498512268,999.0,1.0
244000,1.8922378,4.606864,-111.488107919693,-111.488107919693,999.0,1.0
245000,1.9457155,4.790354,612.3184631665548,612.3184631665548,341.3333333333333,1.0
246000,1.7357504,8.879188,-63.832529067993164,-63.832529067993164,999.0,1.0
247000,1.3883442,-2.0353496,-104.03420972824097,-104.03420972824097,999.0,1.0
248000,1.5186604,2.7216609,-66.59207677841187,-66.59207677841187,999.0,1.0
249000,1.2390367,4.660091,-33.644906997680664,-33.644906997680664,999.0,1.0
250000,1.5505958,8.673357,462.7234869003296,462.7234869003296,509.5,1.0
251000,1.1073719,6.7529645,-111.52832269668579,-111.52832269668579,999.0,1.0
252000,1.5024718,6.230542,-133.70037758350372,-133.70037758350372,999.0,1.0
253000,0.98348546,11.141192,482.97661209106445,482.97661209106445,539.5,1.0
254000,0.9114193,-1.5431775,-178.5682601928711,-178.5682601928711,999.0,1.0
255000,1.1317686,2.8919806,460.7566661834717,460.7566661834717,543.5,1.0
256000,1.8528337,3.2429342,-105.28091049194336,-105.28091049194336,999.0,1.0
257000,1.8758317,14.877559,696.9950130780538,696.9950130780538,343.3333333333333,1.0
258000,1.7614566,11.754853,-104.07370352745056,-104.07370352745056,999.0,1.0
259000,0.8878883,-5.439468,-180.6530049443245,-180.6530049443245,999.0,1.0
260000,1.1281011,-8.460804,-113.72486019134521,-113.72486019134521,999.0,1.0
